"item_type","page","posX","posY","width","height","required","role_name"
sign_item_type_signature,1,0.221,0.731,0.139,0.024,true,sign_item_role_customer
sign_item_type_text,1,0.193,0.3,0.758,0.014,true,sign_item_role_customer
sign_item_type_text,1,0.194,0.21,0.359,0.014,true,sign_item_role_customer
sign_item_type_text,2,0.619,0.865,0.337,0.014,true,sign_item_role_customer
sign_item_type_text,2,0.146,0.232,0.811,0.013,true,sign_item_role_customer
sign_item_type_text,2,0.148,0.178,0.807,0.014,true,sign_item_role_customer
sign_item_type_text,2,0.619,0.884,0.337,0.013,true,sign_item_role_customer
sign_item_type_text,1,0.277,0.364,0.412,0.014,true,sign_item_role_customer
sign_item_type_text,1,0.194,0.332,0.757,0.014,true,sign_item_role_customer
sign_item_type_text,1,0.195,0.238,0.214,0.014,true,sign_item_role_customer
sign_item_type_text,2,0.618,0.919,0.339,0.014,true,sign_item_role_customer
sign_item_type_text,1,0.785,0.363,0.165,0.014,true,sign_item_role_customer
sign_item_type_text,1,0.277,0.395,0.674,0.014,true,sign_item_role_customer
sign_item_type_text,2,0.822,0.305,0.133,0.014,true,sign_item_role_customer
sign_item_type_text,1,0.694,0.21,0.258,0.014,true,sign_item_role_customer
sign_item_type_text,2,0.145,0.281,0.811,0.013,true,sign_item_role_customer
sign_item_type_text,2,0.62,0.848,0.336,0.014,true,sign_item_role_customer
sign_item_type_text,2,0.618,0.9,0.338,0.014,true,sign_item_role_customer
sign_item_type_checkbox,2,0.572,0.607,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.573,0.795,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.573,0.76,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.572,0.883,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.573,0.742,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.929,0.795,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.572,0.677,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.929,0.599,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.929,0.724,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.929,0.651,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.573,0.778,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.929,0.704,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.929,0.616,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.572,0.642,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.572,0.83,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.929,0.581,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.571,0.9,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.929,0.813,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,1,0.862,0.795,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,2,0.573,0.42,0.015,0.015,true,sign_item_role_customer
sign_item_type_checkbox,1,0.941,0.851,0.015,0.015,true,sign_item_role_customer
