"item_type","page","posX","posY","width","height","required","role_name"
sign_item_type_signature,1,0.286,0.26,0.277,0.026,false,sign_item_role_customer
sign_item_type_text,1,0.289,0.596,0.64,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.289,0.542,0.641,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.289,0.831,0.64,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.2,0.372,0.727,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.289,0.8,0.64,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.289,0.895,0.64,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.289,0.569,0.639,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.289,0.624,0.409,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.289,0.862,0.64,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.289,0.235,0.64,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.288,0.652,0.41,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.197,0.424,0.728,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.197,0.448,0.727,0.015,false,sign_item_role_customer
sign_item_type_text,1,0.199,0.399,0.728,0.015,false,sign_item_role_customer
sign_item_type_date,1,0.286,0.296,0.277,0.015,false,sign_item_role_customer
