"item_type","page","posX","posY","width","height","required","role_name"
sign_item_type_text,5,0.457,0.364,0.013,0.019,false,sign_item_role_customer
sign_item_type_signature,6,0.279,0.595,0.201,0.063,false,sign_item_role_customer
sign_item_type_text,6,0.093,0.168,0.847,0.014,false,sign_item_role_customer
sign_item_type_text,5,0.156,0.778,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.826,0.307,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.79,0.644,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.093,0.202,0.583,0.013,false,sign_item_role_customer
sign_item_type_text,5,0.442,0.778,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.195,0.671,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.459,0.307,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.313,0.226,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.6,0.364,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.441,0.698,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.656,0.698,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.094,0.148,0.846,0.014,false,sign_item_role_customer
sign_item_type_text,5,0.094,0.612,0.845,0.014,false,sign_item_role_customer
sign_item_type_text,6,0.778,0.307,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.728,0.632,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.299,0.778,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.337,0.226,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.361,0.226,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.514,0.698,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.49,0.698,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.895,0.632,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.385,0.226,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.935,0.2,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.228,0.779,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.096,0.107,0.844,0.014,false,sign_item_role_customer
sign_item_type_text,5,0.094,0.74,0.846,0.014,false,sign_item_role_customer
sign_item_type_text,5,0.095,0.646,0.578,0.014,false,sign_item_role_customer
sign_item_type_text,6,0.176,0.067,0.307,0.014,false,sign_item_role_customer
sign_item_type_text,5,0.561,0.698,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.242,0.671,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.314,0.671,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.205,0.778,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.935,0.644,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.85,0.307,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.871,0.632,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.385,0.671,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.671,0.364,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,6,0.409,0.226,0.013,0.019,false,sign_item_role_customer
sign_item_type_text,5,0.17,0.51,0.318,0.017,false,sign_item_role_customer
sign_item_type_text,5,0.29,0.671,0.013,0.019,false,sign_item_role_customer
