"item_type","page","posX","posY","width","height","required","role_name"
sign_item_type_text,5,0.09,0.491,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.258,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.042,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.208,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.234,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.447,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.186,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.28,0.381,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.447,0.381,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.161,0.381,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.185,0.381,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.304,0.381,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.352,0.381,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.399,0.381,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.233,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.375,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.113,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.162,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.137,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.448,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.304,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.4,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.471,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.067,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.352,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.234,0.295,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.257,0.295,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.114,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.399,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.257,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.233,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.162,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.066,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.376,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.305,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.185,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.328,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.471,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.447,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.208,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.042,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.066,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.137,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.256,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.338,0.418,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.423,0.418,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.352,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.09,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.423,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.281,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.47,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.114,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.376,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.042,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.328,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.209,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.423,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.089,0.382,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.329,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.304,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.138,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.28,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.352,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.066,0.262,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.281,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.113,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.089,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.042,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.376,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.161,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.424,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.328,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.186,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.209,0.294,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.137,0.326,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.471,0.418,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.399,0.418,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.447,0.418,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.3,0.418,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.276,0.418,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.361,0.418,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.4,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.375,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.424,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.066,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.448,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.328,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.185,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.114,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.09,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.209,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.352,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.28,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.161,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.233,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.043,0.462,0.013,0.015,false,sign_item_role_customer
sign_item_type_text,5,0.137,0.462,0.013,0.015,false,sign_item_role_customer
